2023,45575768
2022,45038552
2021,44491724
2020,43933425
2019,43278150
2018,42539677
2017,41816927
2016,41100877
2015,40403283
2010,37102764
2005,33813026
2000,31222775
1995,28905122
1990,26743824
1985,24704546
1980,22920236
1975,21537413
1970,19480269
1965,17609084
1960,15859371
1955,14139683
